participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777110628910,Male,French,Native,18,7,Headphones,4,0.05555555555555555,1116.5972222222222
P_1777112065838,Female,French,Native,25,7,Speakers,1,0.013888888888888888,562.7222222222222
P_1777112413669,Mâle,Français,Native,,7,Headphones,8,0.1111111111111111,1087.888888888889
P_1777114655189,Mâle,Français,Native,15,7,Headphones,1,0.013888888888888888,1403.2083333333333
P_1777145041687,Female,French,Native,,7,Headphones,3,0.041666666666666664,781.3611111111111
P_1777146721262,Male,French,Native,29,7,Headphones,0,0.0,745.875
P_1777204271005,Female,French,Native,,7,Speakers,2,0.027777777777777776,456.55555555555554
P_1777279179013,Male,French,Native,20,7,Headphones,2,0.027777777777777776,433.0416666666667
P_1777402035832,Male,French,Native,24,7,Headphones,3,0.041666666666666664,401.68055555555554
P_1777813644955,Male,French,Native,22,7,Headphones,2,0.027777777777777776,1054.75
P_1777818156374,Prefer not to say,French,C1/C2,24,7,Headphones,3,0.041666666666666664,983.0277777777778
P_1777818239900,Female,French,Native,23,7,Headphones,8,0.1111111111111111,899.1944444444445
P_1777831330429,Female,French,Native,20,7,Headphones,6,0.08333333333333333,1100.125
P_1777832195896,Prefer not to say,French,Native,18,6,Headphones,3,0.041666666666666664,635.2083333333334
P_1777835056342,Female,French,Native,22,7,Speakers,0,0.0,520.9722222222222
P_1777835608015,Male,French,Native,22,7,Headphones,1,0.013888888888888888,504.44444444444446
P_1777910539807,Male,French,Native,,7,Headphones,0,0.0,276.72222222222223
P_1777919289593,Male,French,Native,31,7,Headphones,2,0.027777777777777776,227.40277777777777
