participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777110628910,Male,French,Native,18,7,Headphones,0,0.0,1252.9166666666667
P_1777112065838,Female,French,Native,25,7,Speakers,0,0.0,549.2222222222222
P_1777112413669,Mâle,Français,Native,,7,Headphones,4,0.05555555555555555,990.3194444444445
P_1777114655189,Mâle,Français,Native,15,7,Headphones,1,0.013888888888888888,1284.8333333333333
P_1777145041687,Female,French,Native,,7,Headphones,3,0.041666666666666664,513.3194444444445
P_1777146721262,Male,French,Native,29,7,Headphones,4,0.05555555555555555,740.7361111111111
P_1777204271005,Female,French,Native,,7,Speakers,0,0.0,400.6111111111111
P_1777279179013,Male,French,Native,20,7,Headphones,1,0.013888888888888888,423.30555555555554
P_1777402035832,Male,French,Native,24,7,Headphones,0,0.0,378.9861111111111
P_1777813644955,Male,French,Native,22,7,Headphones,0,0.0,743.9166666666666
P_1777818156374,Prefer not to say,French,C1/C2,24,7,Headphones,2,0.027777777777777776,985.2361111111111
P_1777818239900,Female,French,Native,23,7,Headphones,4,0.05555555555555555,936.1666666666666
P_1777831330429,Female,French,Native,20,7,Headphones,2,0.027777777777777776,822.5972222222222
P_1777832195896,Prefer not to say,French,Native,18,6,Headphones,3,0.041666666666666664,1227.3194444444443
P_1777835056342,Female,French,Native,22,7,Speakers,0,0.0,504.09722222222223
P_1777835608015,Male,French,Native,22,7,Headphones,1,0.013888888888888888,633.4305555555555
P_1777910539807,Male,French,Native,,7,Headphones,0,0.0,267.69444444444446
P_1777919289593,Male,French,Native,31,7,Headphones,1,0.013888888888888888,257.65277777777777
