participant_id,gender,4_language,french_level,french_years,french_listening_rating,device,mistake_score,mean_mistake,rt_ms
P_1777109938768,Male,English,None,0,1,Speakers,0,0.0,765.875
P_1777112598665,Female,Slovak,None,0,1,Headphones,0,0.0,983.4444444444445
P_1777131147772,Female,English,A1/A2,1,2,Speakers,1,0.013888888888888888,592.5694444444445
P_1777138267672,Male,Turkish,None,0,1,Speakers,3,0.041666666666666664,673.5138888888889
P_1777810079076,Female,Italian,C1/C2,4,5,Headphones,0,0.0,1368.2083333333333
P_1777811943826,Female,Italian,A1/A2,3,2,Headphones,0,0.0,440.05555555555554
P_1777818502614,Female,German,A1/A2,5,3,Headphones,2,0.027777777777777776,717.5138888888889
P_1777821480999,Male,English,A1/A2,1,2,Headphones,1,0.013888888888888888,442.9861111111111
P_1777828509846,Female,Arabic,A1/A2,2,3,Speakers,2,0.027777777777777776,788.9027777777778
P_1777829481203,Female,Italian,None,0,1,Headphones,3,0.041666666666666664,1465.9305555555557
P_1777831674161,Female,Korean,None,0,1,Speakers,0,0.0,911.2361111111111
P_1777832348219,Male,Slovene,None,0,1,Headphones,1,0.013888888888888888,657.9722222222222
P_1777832887071,Non-binary,Dutch,B1/B2,3,3,Speakers,2,0.027777777777777776,721.4166666666666
P_1777835211841,Mâle,Autre,C1/C2,20,7,Headphones,2,0.027777777777777776,1311.986111111111
P_1777837300713,Male,Pulaar,C1/C2,20,7,Speakers,2,0.027777777777777776,887.8611111111111
P_1777840317898,Female,Romanian,C1/C2,7,7,Speakers,1,0.013888888888888888,982.2777777777778
